brand,event_date,year,month,spike_zscore,baseline_hype,pre_drop_buzz,hype_score_t0,hype_peak,hype_peak_day,hype_lift_pct,hype_d7,hype_d30,hype_d60,hype_decay_halflife,days_since_last_event,prev_state,state_t0,state_d7,state_d30
Balenciaga,12-05-2020,2020,5,2.54,26.21,28.88,73.76,73.76,0,181.4,73.76,25.66,30.09,7,,VIRAL,VIRAL,VIRAL,VIRAL
Balenciaga,02-06-2020,2020,6,2.66,28.28,17.5,40.5,72.63,10,156.81,40.74,19.25,15.5,0.6,21,HIGH,VIRAL,VIRAL,HIGH
Balenciaga,12-10-2020,2020,10,3.45,29.74,39.04,57.87,57.87,0,94.6,57.87,32.3,27.43,0.8,132,VIRAL,VIRAL,VIRAL,VIRAL
Balenciaga,02-01-2021,2021,1,3.4,30.61,73.76,55.6,77.17,30,152.06,12.63,77.17,16.86,0.9,82,VIRAL,VIRAL,MEDIUM,VIRAL
Balenciaga,03-02-2021,2021,2,2.71,30.39,68.65,50.74,69.22,26,127.79,14.73,21,26.53,0.6,32,VIRAL,VIRAL,MEDIUM,HIGH
Balenciaga,02-03-2021,2021,3,2.09,30.36,69.22,59.01,59.01,0,94.39,14.16,52.2,59.01,0.3,27,VIRAL,VIRAL,MEDIUM,VIRAL
Balenciaga,02-06-2021,2021,6,2.29,22.61,71.49,70.36,70.36,0,211.14,13.2,56.74,59.01,0.3,92,VIRAL,VIRAL,MEDIUM,VIRAL
Balenciaga,02-08-2021,2021,8,2.1,24.89,59.01,51.07,78.3,30,214.55,13.97,78.3,70.36,0.6,61,VIRAL,VIRAL,MEDIUM,VIRAL
Balenciaga,07-10-2022,2022,10,3.41,20.79,23.3,35.93,80,29,284.78,11.18,11.62,13.8,0.3,431,HIGH,VIRAL,MEDIUM,MEDIUM
Balenciaga,07-11-2022,2022,11,2.75,21.54,25.78,21.9,63,28,192.53,16.24,41.2,8.9,0.3,31,VIRAL,HIGH,MEDIUM,VIRAL
Balenciaga,07-12-2022,2022,12,2.61,22.5,23.67,41.2,41.2,0,83.12,10.45,8.9,18.05,0.5,30,HIGH,VIRAL,LOW,LOW
Balenciaga,12-04-2023,2023,4,2.52,15.21,20.44,69.35,69.35,0,355.83,69.35,22.89,15.64,0.7,126,HIGH,VIRAL,VIRAL,HIGH
Balenciaga,06-07-2023,2023,7,2.58,16.05,22.47,10.9,23.76,26,48.1,20.71,14.09,19.04,,85,HIGH,LOW,HIGH,MEDIUM
Balenciaga,12-09-2023,2023,9,2.56,16.18,14.87,60.47,60.47,0,273.8,60.47,21.53,24.07,0.7,68,MEDIUM,VIRAL,VIRAL,HIGH
Balenciaga,02-10-2023,2023,10,2.97,16.7,9.12,28.94,28.94,0,73.34,18.77,10.69,9.69,0.3,20,LOW,VIRAL,HIGH,LOW
Balenciaga,12-11-2023,2023,11,2.67,15.54,14.1,57.09,57.09,0,267.29,57.09,22.07,14.61,0.7,41,MEDIUM,VIRAL,VIRAL,HIGH
Balenciaga,01-12-2023,2023,12,2.2,16.76,,9.69,22.07,11,31.71,14.03,19.08,18.8,14,19,,LOW,MEDIUM,HIGH
Balenciaga,12-01-2024,2024,1,2.63,14.43,17.24,70.76,70.76,0,390.48,70.76,18.19,17.42,8.9,42,MEDIUM,VIRAL,VIRAL,HIGH
