brand,event_date,year,month,spike_zscore,baseline_hype,pre_drop_buzz,hype_score_t0,hype_peak,hype_peak_day,hype_lift_pct,hype_d7,hype_d30,hype_d60,hype_decay_halflife,days_since_last_event,prev_state,state_t0,state_d7,state_d30
Balenciaga,2010-04-12,2010,4,3.85,1.06,14.29,0.0,56.0,10,5164.0,0.0,0.0,0.0,0.3,,LOW,LOW,LOW,LOW
Balenciaga,2012-08-08,2012,8,3.89,1.13,22.5,30.0,50.0,7,4333.96,50.0,21.5,0.0,0.7,849.0,LOW,VIRAL,VIRAL,MEDIUM
Balenciaga,2013-04-01,2013,4,2.48,22.12,57.57,69.0,100.0,28,352.14,0.0,35.0,56.0,1.6,236.0,VIRAL,VIRAL,LOW,VIRAL
Balenciaga,2013-11-27,2013,11,3.21,21.62,34.86,37.5,50.0,11,131.3,46.0,18.33,23.0,1.2,240.0,VIRAL,VIRAL,VIRAL,MEDIUM
Balenciaga,2014-04-28,2014,4,3.1,27.09,37.93,28.0,50.0,27,84.58,21.5,38.0,23.0,0.3,152.0,VIRAL,HIGH,MEDIUM,VIRAL
Balenciaga,2014-12-26,2014,12,2.89,26.55,68.57,65.0,91.0,30,242.71,72.0,91.0,52.0,15.3,242.0,VIRAL,VIRAL,VIRAL,VIRAL
Balenciaga,2015-10-08,2015,10,3.13,31.27,38.07,42.5,47.5,13,51.92,38.5,40.5,11.75,0.3,286.0,VIRAL,VIRAL,VIRAL,VIRAL
Balenciaga,2016-03-09,2016,3,5.12,14.38,44.79,73.0,73.0,0,407.73,24.5,27.0,35.0,17.2,153.0,VIRAL,VIRAL,HIGH,HIGH
Balenciaga,2016-07-18,2016,7,4.09,30.5,37.21,19.5,50.0,28,63.93,19.5,30.5,33.0,0.3,131.0,VIRAL,MEDIUM,MEDIUM,VIRAL
Balenciaga,2017-03-06,2017,3,2.67,22.93,75.14,74.0,99.0,20,331.77,72.0,53.0,55.0,33.3,231.0,VIRAL,VIRAL,VIRAL,VIRAL
Balenciaga,2017-10-09,2017,10,3.43,26.49,40.86,37.5,42.5,12,60.46,29.5,37.0,20.0,8.5,217.0,VIRAL,VIRAL,HIGH,VIRAL
Balenciaga,2018-05-29,2018,5,2.87,17.97,41.43,47.0,49.5,2,175.49,38.5,38.0,45.0,71.2,232.0,VIRAL,VIRAL,VIRAL,VIRAL
Balenciaga,2019-01-21,2019,1,3.25,28.57,28.67,60.33,60.33,0,111.14,25.0,13.75,16.25,0.3,237.0,HIGH,VIRAL,HIGH,LOW
Balenciaga,2019-12-28,2019,12,5.21,20.4,39.14,46.67,46.67,0,128.79,24.0,16.33,34.0,0.5,341.0,VIRAL,VIRAL,HIGH,MEDIUM
Balenciaga,2020-11-27,2020,11,2.76,24.99,41.79,30.5,68.5,5,174.08,27.0,44.0,24.0,0.3,335.0,VIRAL,VIRAL,HIGH,VIRAL
Balenciaga,2021-08-23,2021,8,3.48,22.69,40.5,33.0,47.5,6,109.33,30.5,35.0,32.0,22.1,269.0,VIRAL,VIRAL,VIRAL,VIRAL
Balenciaga,2022-05-12,2022,5,3.94,25.87,25.03,62.0,62.0,0,139.64,7.6,8.2,7.4,0.3,262.0,LOW,VIRAL,LOW,LOW
Balenciaga,2022-11-30,2022,11,4.52,22.64,42.29,59.25,59.25,0,161.72,24.5,14.25,15.4,2.6,202.0,HIGH,VIRAL,HIGH,LOW
Balenciaga,2023-07-31,2023,7,2.8,17.22,42.36,46.5,84.0,21,387.86,29.5,35.0,35.5,13.7,243.0,VIRAL,VIRAL,HIGH,VIRAL
Balenciaga,2024-06-02,2024,6,3.41,25.9,37.0,28.0,55.0,19,112.35,28.33,17.67,18.33,0.3,307.0,HIGH,HIGH,HIGH,MEDIUM
Balenciaga,2024-12-24,2024,12,3.44,31.82,38.29,41.5,60.5,14,90.14,26.0,15.0,51.0,0.3,205.0,VIRAL,VIRAL,HIGH,MEDIUM
Balenciaga,2025-04-20,2025,4,2.47,20.28,37.5,43.5,46.0,12,126.78,27.0,36.0,21.5,26.5,117.0,HIGH,VIRAL,HIGH,VIRAL
